DATE,FEDFUNDS,UNEMPLOY,PMSAVE
7/1/2017,1.15,6867,1119.8
8/1/2017,1.16,7097,1133.7
9/1/2017,1.15,6841,1098.3
10/1/2017,1.15,6599,1118
11/1/2017,1.16,6697,1065.4
12/1/2017,1.3,6561,1009.6
1/1/2018,1.41,6582,1153.9
2/1/2018,1.42,6641,1204.1
3/1/2018,1.51,6493,1208.5
4/1/2018,1.69,6418,1209.6
5/1/2018,1.7,6209,1206.2
6/1/2018,1.82,6519,1238.2
7/1/2018,1.91,6180,1247.3
8/1/2018,1.91,6167,1244.8
9/1/2018,1.95,6045,1251.6
10/1/2018,2.19,6123,1218.3
11/1/2018,2.2,6034,1189.6
12/1/2018,2.27,6286,1475.7
1/1/2019,2.4,6516,1370.5
2/1/2019,2.4,6181,1400.7
3/1/2019,2.41,6194,1292.3
4/1/2019,2.42,5850,1226
5/1/2019,2.39,5938,1180.4
6/1/2019,2.38,5985,1152
7/1/2019,2.4,6027,1141.6
8/1/2019,2.13,5999,1194.5
9/1/2019,2.04,5753,1205.5
10/1/2019,1.83,5857,1181.6
11/1/2019,1.55,5811,1236
12/1/2019,1.55,5753,1193.7
1/1/2020,1.55,5892,1268.9
2/1/2020,1.58,5787,1392.7
3/1/2020,0.65,7140,2120.8
4/1/2020,0.05,23078,6351.5
